"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Gem_CJuql4","Gem_JW11","Gem_JW3-8s0","Gem_JW9","Gem_obs_UQM2246"
"group_15505","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","16963","385","22585","","320","320","320","","GW11_00429","","",""
"group_15506","","cytidine deaminase [Gemmata obscuriglobus]","1","1","1","1","16962","385","22586","","413","413","413","","GW11_00430","","",""
"group_15507","","hypothetical protein [Rhodopirellula europaea]","1","1","1","1","16960","385","22588","","440","440","440","","GW11_00432","","",""
"group_15508","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","16959","385","22589","","1406","1406","1406","","GW11_00433","","",""
"group_15509","","hypothetical protein","1","1","1","1","15544","385","22590","","188","188","188","","GW11_00434","","",""
"group_1551","","Transposase DDE domain protein","1","1","1","1","24578","385","4204","","404","404","404","","","","","GUQM_05117"
"group_15510","","hypothetical protein","1","1","1","1","15127","385","3146","","440","440","440","","GW11_00441","","",""
"group_15511","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","1045","385","3143","","446","446","446","","GW11_00445","","",""
"group_15512","","phosphoesterase [Gemmata obscuriglobus]","1","1","1","1","1042","385","8693","","599","599","599","","GW11_00449","","",""
"group_15513","","hybrid sensor histidine kinase/response regulator [Zavarzinella formosa]","1","1","1","1","1041","385","8694","","422","422","422","","GW11_00450","","",""
"group_15514","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","1039","385","8696","","566","566","566","","GW11_00452","","",""
"group_15515","","hybrid sensor histidine kinase/response regulator [Zavarzinella formosa]","1","1","1","1","1038","385","8697","","323","323","323","","GW11_00453","","",""
"group_15516","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","1037","385","8698","","1514","1514","1514","","GW11_00454","","",""
"group_15517","","hybrid sensor histidine kinase/response regulator [Gemmata obscuriglobus]","1","1","1","1","1034","385","8701","","1448","1448","1448","","GW11_00457","","",""
"group_15518","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","1033","385","8702","","3662","3662","3662","","GW11_00458","","",""
"group_15519","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","1032","385","8703","","866","866","866","","GW11_00459","","",""
"group_1552","","hypothetical protein","1","1","1","1","2351","385","13745","","239","239","239","","","","","GUQM_04203"
"group_15520","","methyl-accepting chemotaxis sensory transducer [Gemmata obscuriglobus]","1","1","1","1","1030","385","8692","","716","716","716","","GW11_00461","","",""
"group_15521","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","1029","385","8691","","302","302","302","","GW11_00462","","",""
"group_15522","","chemotaxis signal transduction protein, partial [Gemmata obscuriglobus]","1","1","1","1","1024","385","8686","","1526","1526","1526","","GW11_00465","","",""
"group_15523","","chemotaxis response regulator protein-glutamate methylesterase [Gemmata obscuriglobus]","1","1","1","1","1021","385","8685","","620","620","620","","GW11_00466","","",""
"group_15524","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","23827","398","3","","614","614","614","","GW11_00477","","",""
"group_15525","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","23824","398","5","","1202","1202","1202","","GW11_00479","","",""
"group_15526","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","23823","398","6","","779","779","779","","GW11_00480","","",""
"group_15527","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","2297","398","14","","1754","1754","1754","","GW11_00485","","",""
"group_15528","","biliverdin-producing heme oxygenase [Zavarzinella formosa]","1","1","1","1","2279","385","13501","","593","593","593","","GW11_00487","","",""
"group_15529","","hybrid sensor histidine kinase/response regulator [Zavarzinella formosa]","1","1","1","1","2278","385","13502","","707","707","707","","GW11_00488","","",""
"group_1553","","hypothetical protein","1","1","1","1","7334","385","11233","","416","416","416","","","","","GUQM_00132"
"group_15530","","multi-sensor signal transduction histidine kinase [Isosphaera pallida]","1","1","1","1","2277","385","13503","","3950","3950","3950","","GW11_00489","","",""
"group_15531","","transposase [Gemmata sp. SH-PL17]","1","1","1","1","2276","385","13504","","527","527","527","","GW11_00490","","",""
"group_15532","","hypothetical protein","1","1","1","1","2141","385","13499","","374","374","374","","GW11_00498","","",""
"group_15533","","gas vesicle protein GvpA [Isosphaera pallida]","1","1","1","1","2140","385","13498","","422","422","422","","GW11_00499","","",""
"group_15534","","gas vesicle protein K [Isosphaera pallida]","1","1","1","1","2139","385","13497","","290","290","290","","GW11_00500","","",""
"group_15535","","hypothetical protein [Isosphaera pallida]","1","1","1","1","2138","385","13496","","203","203","203","","GW11_00501","","",""
"group_15536","","hypothetical protein [Isosphaera pallida]","1","1","1","1","2137","385","13495","","257","257","257","","GW11_00502","","",""
"group_15537","","gas vesicle protein G [Isosphaera pallida]","1","1","1","1","2136","385","13494","","278","278","278","","GW11_00503","","",""
"group_15538","","gas vesicle synthesis protein GvpLGvpF [Isosphaera pallida]","1","1","1","1","2135","385","13493","","752","752","752","","GW11_00504","","",""
"group_15539","","hypothetical protein [Isosphaera pallida]","1","1","1","1","2134","385","13492","","314","314","314","","GW11_00505","","",""
"group_1554","","hypothetical protein","1","1","1","1","28957","385","22994","","380","380","380","","","","","GUQM_04421"
"group_15540","","gas vesicle protein GvpN [Isosphaera pallida]","1","1","1","1","2133","385","13491","","947","947","947","","GW11_00506","","",""
"group_15541","","hypothetical protein","1","1","1","1","2132","385","13490","","467","467","467","","GW11_00507","","",""
"group_15542","","hypothetical protein","1","1","1","1","2131","385","13489","","836","836","836","","GW11_00508","","",""
"group_15543","","gas vesicle protein GvpA [Isosphaera pallida]","1","1","1","1","2130","385","13488","","218","218","218","","GW11_00509","","",""
"group_15544","","Gas vesicle synthesis protein GvpL/GvpF","1","1","1","1","2129","385","13487","","698","698","698","","GW11_00510","","",""
"group_15545","","gas vesicle synthesis protein GvpLGvpF [Isosphaera pallida]","1","1","1","1","2128","385","13486","","485","485","485","","GW11_00511","","",""
"group_15546","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","2127","385","13485","","2120","2120","2120","","GW11_00512","","",""
"group_15547","","sigma-54-dependent Fis family transcriptional regulator [Isosphaera pallida]","1","1","1","1","2126","385","13484","","1895","1895","1895","","GW11_00513","","",""
"group_15548","","hypothetical protein","1","1","1","1","2125","385","13483","","641","641","641","","GW11_00514","","",""
"group_15549","","hypothetical protein","1","1","1","1","2124","385","13482","","791","791","791","","GW11_00515","","",""
"group_1555","","hypothetical protein","1","1","1","1","10939","385","19453","","809","809","809","","","","","GUQM_03210"
"group_15550","","methyl-accepting chemotaxis sensory transducer [Rhodopirellula sp. SWK7]","1","1","1","1","2123","385","13481","","398","398","398","","GW11_00516","","",""
"group_15551","","hypothetical protein","1","1","1","1","2122","385","13480","","242","242","242","","GW11_00517","","",""
"pyp","","Photoactive yellow protein","1","1","1","1","2121","385","13479","","368","368","368","","GW11_00518","","",""
"group_15553","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","2120","385","13478","","1391","1391","1391","","GW11_00519","","",""
"group_15554","","hypothetical protein","1","1","1","1","2119","385","13477","","227","227","227","","GW11_00520","","",""
"group_15555","","histidine ammonia-lyase [Gemmata sp. SH-PL17]","1","1","1","1","2118","385","13476","","1103","1103","1103","","GW11_00521","","",""
"group_15556","","hypothetical protein","1","1","1","1","2117","385","13475","","101","101","101","","GW11_00522","","",""
"group_15557","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","2116","385","13474","","533","533","533","","GW11_00523","","",""
"group_15558","","hypothetical protein","1","1","1","1","2115","385","13473","","203","203","203","","GW11_00524","","",""
"group_15559","","hypothetical protein","1","1","1","1","2114","385","13472","","92","92","92","","GW11_00525","","",""
"group_1556","","hypothetical protein","1","1","1","1","12990","385","21676","","785","785","785","","","","","GUQM_06303"
"group_15560","","hypothetical protein","1","1","1","1","2113","385","13471","","596","596","596","","GW11_00526","","",""
"group_15561","","hypothetical protein","1","1","1","1","25353","385","13452","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","725","725","725","","GW11_00528","","",""
"group_15562","","EamA family transporter [Zavarzinella formosa]","1","1","1","1","25354","385","13451","","416","416","416","","GW11_00529","","",""
"group_15563","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","25355","385","13450","","521","521","521","","GW11_00530","","",""
"group_15564","","DNA-binding response regulator [Zavarzinella formosa]","1","1","1","1","25356","385","13449","","683","683","683","","GW11_00531","","",""
"group_15565","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","25357","385","13448","","1130","1130","1130","","GW11_00532","","",""
"group_15566","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","25358","385","13447","","788","788","788","","GW11_00533","","",""
"group_15567","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","25359","385","13446","","1535","1535","1535","","GW11_00534","","",""
"group_15568","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","25360","385","13445","","392","392","392","","GW11_00535","","",""
"group_15569","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","25361","385","13444","","863","863","863","","GW11_00536","","",""
"group_1557","","hypothetical protein","1","1","1","1","12372","385","10907","","380","380","380","","","","","GUQM_05696"
"group_15570","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","25363","385","13442","","1310","1310","1310","","GW11_00538","","",""
"group_15571","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","25367","385","13440","","266","266","266","","GW11_00540","","",""
"group_15572","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","25368","385","13439","","1271","1271","1271","","GW11_00541","","",""
"group_15573","","Helix-turn-helix domain protein","1","1","1","1","25369","385","13438","","338","338","338","","GW11_00542","","",""
"group_15574","","D12 class N6 adenine-specific DNA methyltransferase","1","1","1","1","25370","385","13437","","701","701","701","","GW11_00543","","",""
"group_15575","","hypothetical protein","1","1","1","1","25371","385","13436","","683","683","683","","GW11_00544","","",""
"group_15576","","hypothetical protein","1","1","1","1","25372","385","13435","","122","122","122","","GW11_00545","","",""
"group_15577","","hypothetical protein","1","1","1","1","25373","385","13434","","488","488","488","","GW11_00546","","",""
"group_15578","","hypothetical protein","1","1","1","1","25374","385","13433","","284","284","284","","GW11_00547","","",""
"group_15579","","hypothetical protein","1","1","1","1","25375","385","13432","","998","998","998","","GW11_00548","","",""
"group_15580","","hypothetical protein","1","1","1","1","25377","385","13430","","233","233","233","","GW11_00550","","",""
"group_15581","","hypothetical protein","1","1","1","1","25378","385","13429","","395","395","395","","GW11_00551","","",""
"group_15582","","hypothetical protein","1","1","1","1","25379","385","13428","","722","722","722","","GW11_00552","","",""
"group_15583","","hypothetical protein","1","1","1","1","25380","385","13427","","227","227","227","","GW11_00553","","",""
"group_15584","","hypothetical protein","1","1","1","1","25381","385","13426","","356","356","356","","GW11_00554","","",""
"group_15585","","hypothetical protein","1","1","1","1","25382","385","13425","","1079","1079","1079","","GW11_00555","","",""
"group_15586","","hypothetical protein","1","1","1","1","25383","385","13424","","188","188","188","","GW11_00556","","",""
"group_15587","","hypothetical protein","1","1","1","1","25384","385","13423","","353","353","353","","GW11_00557","","",""
"group_15588","","hypothetical protein [Rhodopirellula europaea]","1","1","1","1","25386","385","13421","","377","377","377","","GW11_00559","","",""
"group_15589","","Antirestriction, ArdC [Rhodopirellula baltica]","1","1","1","1","25387","385","13420","","755","755","755","","GW11_00560","","",""
"group_1559","","hypothetical protein","1","1","1","1","10343","385","7795","","263","263","263","","","","GW9_03677",""
"group_15590","","hypothetical protein [Rhodopirellula sallentina]","1","1","1","1","25388","385","13419","","611","611","611","","GW11_00561","","",""
"group_15591","","hypothetical protein","1","1","1","1","25389","385","13418","","494","494","494","","GW11_00562","","",""
"group_15592","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","25390","385","13417","","293","293","293","","GW11_00563","","",""
"group_15593","","hypothetical protein","1","1","1","1","25391","385","13416","","419","419","419","","GW11_00564","","",""
"group_15594","","Holliday junction DNA helicase RuvB [Gemmata obscuriglobus]","1","1","1","1","25392","385","13415","","977","977","977","","GW11_00565","","",""
"group_15595","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","25393","385","13414","","437","437","437","","GW11_00566","","",""
"group_15596","","integrase [Gemmata obscuriglobus]","1","1","1","1","25394","385","13413","","911","911","911","","GW11_00567","","",""
"group_15597","","hypothetical protein [Rhodopirellula sallentina]","1","1","1","1","25395","385","13412","","245","245","245","","GW11_00568","","",""
"group_15598","","hypothetical protein","1","1","1","1","25396","385","13411","","221","221","221","","GW11_00569","","",""
"group_15599","","hypothetical protein [Isosphaera pallida]","1","1","1","1","25397","385","13410","","1106","1106","1106","","GW11_00570","","",""
"group_15600","","transcriptional regulator [Gemmata obscuriglobus]","1","1","1","1","25398","385","13409","","368","368","368","","GW11_00571","","",""
"group_15601","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","25399","385","13408","","380","380","380","","GW11_00572","","",""
"group_15602","","hypothetical protein","1","1","1","1","25400","385","13407","","308","308","308","","GW11_00573","","",""
"group_15603","","hypothetical protein","1","1","1","1","25401","385","13406","","1763","1763","1763","","GW11_00574","","",""
"group_15604","","hypothetical protein","1","1","1","1","25402","385","13405","","782","782","782","","GW11_00575","","",""
"group_15605","","hypothetical protein","1","1","1","1","25403","385","13404","","1229","1229","1229","","GW11_00576","","",""
"group_15606","","hypothetical protein [Isosphaera pallida]","1","1","1","1","25404","385","13403","","1838","1838","1838","","GW11_00577","","",""
"group_15607","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","25405","385","13402","","329","329","329","","GW11_00578","","",""
"group_15608","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","25406","385","13401","","332","332","332","","GW11_00579","","",""
"group_15609","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","25407","385","13400","","4040","4040","4040","","GW11_00580","","",""
"group_1561","","hypothetical protein","1","1","1","1","20895","385","7836","","260","260","260","","","GJW3_04499","",""
"group_15610","","type I site-specific deoxyribonuclease HsdR family [Rhodopirellula baltica]","1","1","1","1","25408","385","13399","","611","611","611","","GW11_00581","","",""
"group_15611","","type I site-specific deoxyribonuclease HsdR family [Rhodopirellula baltica]","1","1","1","1","25409","385","13398","","2810","2810","2810","","GW11_00582","","",""
"group_15612","","hypothetical protein [Rhodopirellula sallentina]","1","1","1","1","25410","385","13397","","263","263","263","","GW11_00583","","",""
"group_15613","","hypothetical protein","1","1","1","1","25411","385","13396","","110","110","110","","GW11_00584","","",""
"group_15614","","hypothetical protein","1","1","1","1","25412","385","13395","","698","698","698","","GW11_00585","","",""
"group_15615","","hypothetical protein [Rhodopirellula islandica]","1","1","1","1","25413","385","13394","","1340","1340","1340","","GW11_00586","","",""
"group_15616","","SAM-dependent DNA methyltransferase [Rhodopirellula baltica]","1","1","1","1","25414","385","13393","","1613","1613","1613","","GW11_00587","","",""
"group_15617","","transcriptional regulator [Rhodopirellula sallentina]","1","1","1","1","25415","385","13392","","338","338","338","","GW11_00588","","",""
"group_15618","","hypothetical protein [Rhodopirellula baltica SH 1]","1","1","1","1","25416","385","13391","","743","743","743","","GW11_00589","","",""
"group_15619","","Stem cell self-renewal protein Piwi domain protein [Rhodopirellula maiorica]","1","1","1","1","25417","385","13390","","3380","3380","3380","","GW11_00590","","",""
"group_1562","","hypothetical protein","1","1","1","1","20249","385","17282","","251","251","251","","","GJW3_06366","",""
"group_15620","","ATP-dependent endonuclease [Rhodopirellula europaea]","1","1","1","1","25418","385","13389","","1826","1826","1826","","GW11_00591","","",""
"group_15621","","DNA helicase UvrD [Isosphaera pallida]","1","1","1","1","25419","385","13388","","1823","1823","1823","","GW11_00592","","",""
"group_15622","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","25420","385","13387","","365","365","365","","GW11_00593","","",""
"group_15623","","hypothetical protein","1","1","1","1","25421","385","13386","","1367","1367","1367","","GW11_00594","","",""
"group_15624","","RNA methyltransferase [Gemmata sp. SH-PL17]","1","1","1","1","25422","385","13385","","329","329","329","","GW11_00595","","",""
"group_15625","","A-type carbonic anhydrase [Rhodopirellula baltica SH 1]","1","1","1","1","25423","385","13384","","716","716","716","","GW11_00596","","",""
"group_15626","","glyoxalase [Gemmata sp. SH-PL17]","1","1","1","1","25424","385","13383","","413","413","413","","GW11_00597","","",""
"group_15627","","NADH:ubiquinone oxidoreductase complex I intermediate-associated protein 30 [Rhodopirellula europaea]","1","1","1","1","25425","385","13382","","530","530","530","","GW11_00598","","",""
"group_15628","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","25352","385","13380","","269","269","269","","GW11_00600","","",""
"group_15629","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","25350","385","13350","","1151","1151","1151","","GW11_00603","","",""
"group_1563","","hypothetical protein","1","1","1","1","10469","385","17292","","260","260","260","","","GJW3_06356","",""
"group_15630","","DedA family protein [Gemmata sp. SH-PL17]","1","1","1","1","18951","385","23193","","875","875","875","","GW11_00606","","",""
"group_15631","","serine/threonine protein kinase [Gemmata obscuriglobus]","1","1","1","1","18944","385","23200","","2240","2240","2240","","GW11_00609","","",""
"group_15632","","serine/threonine protein kinase [Gemmata obscuriglobus]","1","1","1","1","29070","385","23201","","404","404","404","","GW11_00610","","",""
"group_15633","","hypothetical protein","1","1","1","1","29073","385","23178","","428","428","428","","GW11_00613","","",""
"group_15634","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","29074","385","23177","","596","596","596","","GW11_00614","","",""
"group_15635","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","29075","385","23176","","1073","1073","1073","","GW11_00615","","",""
"group_15636","","ISAs1 family transposase [Gemmata obscuriglobus]","1","1","1","1","29076","385","23175","","677","677","677","","GW11_00616","","",""
"group_15637","","ISAs1 family transposase [Gemmata obscuriglobus]","1","1","1","1","28997","385","2911","","677","677","677","","GW11_00751","","",""
"group_15638","","hypothetical protein","1","1","1","1","99","385","12286","","338","338","338","","GW11_00619","","",""
"group_15639","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","27813","592","1","","1391","1391","1391","","GW11_00622","","",""
"group_15640","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","13585","385","2443","","452","452","452","","GW11_00628","","",""
"group_15641","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","13503","385","800","","1013","1013","1013","","GW11_00631","","",""
"group_15642","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","13418","385","1102","","548","548","548","","GW11_00637","","",""
"group_15643","","hypothetical protein","1","1","1","1","13682","385","1097","","305","305","305","","GW11_00641","","",""
"group_15644","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","13681","385","1096","","239","239","239","","GW11_00642","","",""
"group_15645","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","13680","385","1095","","629","629","629","","GW11_00643","","",""
"group_15646","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","13679","385","1094","","1247","1247","1247","","GW11_00644","","",""
"group_15647","","carboxypeptidase regulatory-like domain-containing protein [Zavarzinella formosa]","1","1","1","1","13677","385","1092","","473","473","473","","GW11_00646","","",""
"group_15648","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","13676","385","1091","","1214","1214","1214","","GW11_00647","","",""
"group_15649","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","13675","385","1090","","1934","1934","1934","","GW11_00648","","",""
"group_1565","","hypothetical protein","1","1","1","1","10358","385","8074","","296","296","296","","","GJW3_05058","",""
"group_15650","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","13673","385","1088","","794","794","794","","GW11_00650","","",""
"group_15651","","TIGR02996 domain-containing protein [Gemmata obscuriglobus]","1","1","1","1","13672","385","1087","","1514","1514","1514","","GW11_00651","","",""
"group_15652","","serine/threonine protein kinase [Gemmata sp. SH-PL17]","1","1","1","1","13671","385","1086","","1619","1619","1619","","GW11_00652","","",""
"group_15653","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","13670","385","1085","","1523","1523","1523","","GW11_00653","","",""
"group_15654","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","13669","385","1084","","1880","1880","1880","","GW11_00654","","",""
"group_15655","","hypothetical protein","1","1","1","1","13668","385","1083","","482","482","482","","GW11_00655","","",""
"group_15656","","hypothetical protein","1","1","1","1","13667","385","1082","","548","548","548","","GW11_00656","","",""
"group_15657","","hypothetical protein","1","1","1","1","13666","385","1081","","797","797","797","","GW11_00657","","",""
"group_15658","","hypothetical protein","1","1","1","1","13665","385","1080","","173","173","173","","GW11_00658","","",""
"group_15659","","secretion system protein TadA [Rhodopirellula baltica SH 1]","1","1","1","1","13664","385","1079","","878","878","878","","GW11_00659","","",""
"group_15660","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","13663","385","1078","","914","914","914","","GW11_00660","","",""
"group_15661","","hypothetical protein","1","1","1","1","13662","385","1077","","182","182","182","","GW11_00661","","",""
"group_15662","","hypothetical protein","1","1","1","1","13661","385","1076","","236","236","236","","GW11_00662","","",""
"group_15663","","Type IV leader peptidase family protein","1","1","1","1","13660","385","1075","","737","737","737","","GW11_00663","","",""
"group_15664","","hypothetical protein","1","1","1","1","13659","385","1074","","170","170","170","","GW11_00664","","",""
"group_15665","","hypothetical protein","1","1","1","1","13658","385","1073","","785","785","785","","GW11_00665","","",""
"group_15666","","hypothetical protein","1","1","1","1","13657","385","1072","","1544","1544","1544","","GW11_00666","","",""
"group_15667","","hypothetical protein","1","1","1","1","13656","385","1071","","512","512","512","","GW11_00667","","",""
"group_15668","","hypothetical protein","1","1","1","1","13655","385","1070","","917","917","917","","GW11_00668","","",""
"group_15669","","hypothetical protein","1","1","1","1","13654","385","1069","","674","674","674","","GW11_00669","","",""
"group_1567","","hypothetical protein","1","1","1","1","24129","385","19964","","1364","1364","1364","","","","GW9_00730",""
"group_15670","","pilus assembly protein CpaF [Gemmata sp. SH-PL17]","1","1","1","1","13653","385","1068","","2096","2096","2096","","GW11_00670","","",""
"group_15671","","type II secretion system protein [Rhodopirellula islandica]","1","1","1","1","13652","385","1067","","851","851","851","","GW11_00671","","",""
"group_15672","","Bacterial type II secretion system protein F domain protein","1","1","1","1","13651","385","1066","","965","965","965","","GW11_00672","","",""
"group_15673","","hypothetical protein","1","1","1","1","13650","385","1065","","848","848","848","","GW11_00673","","",""
"group_15674","","hypothetical protein [Singulisphaera sp. GP187]","1","1","1","1","13649","385","1064","","2117","2117","2117","","GW11_00674","","",""
"group_15675","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","13648","385","1063","","1817","1817","1817","","GW11_00675","","",""
"group_15676","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","4632","385","8735","","1571","1571","1571","","GW11_00681","","",""
"group_15677","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","4631","385","8736","","566","566","566","","GW11_00682","","",""
"group_15678","","hypothetical protein","1","1","1","1","4628","385","8807","","872","872","872","","GW11_00685","","",""
"group_15679","","transporter [Gemmata obscuriglobus]","1","1","1","1","4627","385","8808","","884","884","884","","GW11_00686","","",""
"group_1568","","hypothetical protein","1","1","1","1","24138","385","3192","","224","224","224","","","","GW9_00736",""
"group_15680","","hypothetical protein [Rhodopirellula baltica]","1","1","1","1","4626","385","8809","","1886","1886","1886","","GW11_00687","","",""
"group_15681","","CSLREA domain-containing protein [Gemmata obscuriglobus]","1","1","1","1","4625","385","8810","","1475","1475","1475","","GW11_00688","","",""
"group_15682","","TIGR03032 family protein [Singulisphaera sp. GP187]","1","1","1","1","4624","385","8811","","1070","1070","1070","","GW11_00689","","",""
"group_15683","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","4623","385","8812","","332","332","332","","GW11_00690","","",""
"group_15684","","hypothetical protein","1","1","1","1","4622","385","8813","","182","182","182","","GW11_00691","","",""
"group_15685","","hypothetical protein","1","1","1","1","4621","385","8814","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","707","707","707","","GW11_00692","","",""
"group_15686","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","4618","385","9774","","2090","2090","2090","","GW11_00696","","",""
"group_15687","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","4617","385","9773","","926","926","926","","GW11_00697","","",""
"group_15688","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","4616","385","9772","","347","347","347","","GW11_00698","","",""
"group_15689","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","4615","385","9771","","2654","2654","2654","","GW11_00699","","",""
"group_1569","","hypothetical protein","1","1","1","1","6874","385","18061","","422","422","422","","","","GW9_05335",""
"group_15690","","sigma-70 family RNA polymerase sigma factor [Gemmata obscuriglobus]","1","1","1","1","4614","385","9770","","626","626","626","","GW11_00700","","",""
"group_15691","","hypothetical protein [Singulisphaera sp. GP187]","1","1","1","1","4612","385","9768","","398","398","398","","GW11_00702","","",""
"group_15692","","ParB-like nuclease domain protein","1","1","1","1","4611","385","9767","","1304","1304","1304","","GW11_00703","","",""
"group_15693","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","4610","385","9766","","251","251","251","","GW11_00704","","",""
"group_15694","","hypothetical protein","1","1","1","1","4609","385","9765","","167","167","167","","GW11_00705","","",""
"group_15695","","hypothetical protein","1","1","1","1","4608","385","9764","","725","725","725","","GW11_00706","","",""
"group_15696","","hypothetical protein","1","1","1","1","4607","385","9763","","1229","1229","1229","","GW11_00707","","",""
"group_15697","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","4606","385","9762","","254","254","254","","GW11_00708","","",""
"group_15698","","response regulator [Gemmata obscuriglobus]","1","1","1","1","4605","385","9761","","440","440","440","","GW11_00709","","",""
"group_15699","","hypothetical protein","1","1","1","1","4604","385","9760","","257","257","257","","GW11_00710","","",""
"group_1570","","hypothetical protein","1","1","1","1","668","385","20900","","578","578","578","","","GJW3_05133","",""
"group_15700","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","4603","385","9759","","194","194","194","","GW11_00711","","",""
"group_15701","","response regulator [Gemmata obscuriglobus]","1","1","1","1","4602","385","9758","","485","485","485","","GW11_00712","","",""
"group_15702","","DNA-binding response regulator [Gemmata obscuriglobus]","1","1","1","1","4600","385","9752","","653","653","653","","GW11_00714","","",""
"group_15703","","signal transduction histidine kinase [Gemmata obscuriglobus]","1","1","1","1","4599","385","9751","","1967","1967","1967","","GW11_00715","","",""
"group_15704","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","4598","385","9750","","194","194","194","","GW11_00716","","",""
"group_15705","","hypothetical protein","1","1","1","1","16566","385","9748","","218","218","218","","GW11_00718","","",""
"group_15706","","xylose isomerase [Gemmata obscuriglobus]","1","1","1","1","16565","385","9747","","794","794","794","","GW11_00719","","",""
"group_15707","","hypothetical protein","1","1","1","1","16564","385","9746","","200","200","200","","GW11_00720","","",""
"group_15708","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","16563","385","9745","","335","335","335","","GW11_00721","","",""
"group_15709","","hypothetical protein [Gemmata obscuriglobus]","1","1","1","1","16562","385","9744","","968","968","968","","GW11_00722","","",""
"group_1571","","hypothetical protein","1","1","1","1","23898","385","11372","","578","578","578","","","GJW3_05503","",""
"group_15710","","hypothetical protein [Gemmata sp. SH-PL17]","1","1","1","1","16561","385","9743","","455","455","455","","GW11_00723","","",""
"group_15711","","hypothetical protein [Zavarzinella formosa]","1","1","1","1","16560","385","9742","","776","776","776","","GW11_00724","","",""
