IYO_000005,chromosomal replication initiation protein,,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity),PST/PSPTO_0001,(RefSeq) chromosomal replication initiation protein,pst02020 Two-component system;,PA0001,(RefSeq) chromosome replication initiator DnaA,pae02020 Two-component system;,; sequence-specific double-stranded DNA binding; sequence-specific DNA binding ; double-stranded DNA binding ; ATP binding ; adenyl ribonucleotide binding ; adenyl nucleotide binding ; DNA binding ; purine ribonucleoside triphosphate binding; purine ribonucleoside binding ; purine nucleoside binding ; ribonucleoside binding ; nucleoside binding ; purine ribonucleotide binding ; purine nucleotide binding ; ribonucleotide binding ; carbohydrate derivative binding; drug binding ; nucleic acid binding ; nucleotide binding ; nucleoside phosphate binding ; anion binding ; small molecule binding ; ATPase activity ; nucleoside-triphosphatase activity; pyrophosphatase activity ; hydrolase activity,
IYO_000060,transposase,,TniB family,PST/PSPTO_0029,(RefSeq) transposition helper protein,,PA5252,(RefSeq) ABC transporter ATP-binding protein,,; transposition ; transposition,
IYO_000065,hypothetical protein,hypothetical protein,,PST/PSPTO_0030,(RefSeq) hypothetical protein,,PA1945,(RefSeq) transcriptional regulator,,,
IYO_000070,hypothetical protein,,,PST/PSPTO_3717,(RefSeq) ABC transporter substrate-binding protein,pst02010 ABC transporters;,PA3739,(RefSeq) sodium/hydrogen antiporter,,,
IYO_000075,hypothetical protein,,,PST/PSPTO_0173,(RefSeq) quinone oxidoreductase,,PA3468,(RefSeq) hypothetical protein,,,
IYO_000080,hypothetical protein,Bll1572 protein,,PST/PSPTO_5348,(RefSeq) hypothetical protein,,PA3311,(RefSeq) signaling protein,,,
IYO_000085,chromosome partitioning protein,Bll0873 protein,repB Plasmid Partition,PST/PSPTO_0032,(RefSeq) hypothetical protein,,PA0002,(RefSeq) DNA polymerase III subunit beta,pae03030 DNA replication; pae03430 Mismatch repair; pae03440 Homologous recombination;,,
IYO_000090,plasmid stablization protein ParB,Chromosome (plasmid) partitioning protein ParB,Parb family,PST/PSPTO_0033,(RefSeq) ParB family protein,,PA5562,(RefSeq) chromosome partitioning protein,,,
IYO_000095,serine recombinase,Recombinase,Recombinase,PST/PSPTO_0034,(RefSeq) recombinase,,PA3924,(RefSeq) long-chain-fatty-acid--CoA ligase,,,
IYO_000100,hypothetical protein,,,PST/PSPTO_2463,(RefSeq) TonB-dependent siderophore receptor,,PA3174,(RefSeq) transcriptional regulator,,,
IYO_000105,DNA-binding protein,CiaB PROTEIN,Inherit from proNOG: CiaB protein,PST/PSPTO_0138,(RefSeq) ABC transporter ATP-binding protein,,PA0463,(RefSeq) DNA-binding response regulator CreB,pae02020 Two-component system;,,
IYO_000110,death-on-curing protein,,,PST/PSPTO_3361,(RefSeq) hypothetical protein,,PA2630,(RefSeq) hypothetical protein,,,
IYO_000115,hypothetical protein,,,PST/PSPTO_2239,(RefSeq) YD repeat protein,,PA4084,(RefSeq) usher CupB3,,,
IYO_000120,nucleic acid ATP-dependent helicase,,,PST/PSPTO_2590,(RefSeq) luciferase family protein,pst00920 Sulfur metabolism;,PA3954,(RefSeq) hypothetical protein,pae00920 Sulfur metabolism;,,
IYO_000125,helicase,,Helicase,PST/PSPTO_2099,(RefSeq) helicase/SNF2 family domain protein,,PA2732,(RefSeq) hypothetical protein,,,
IYO_000130,type I restriction-modification system - M subunit,Type I restriction-modification system%2C DNA-methyltransferase subunit M (EC 2.1.1.72),type I restriction-modification system,PST/PSPTO_0005,(RefSeq) type I restriction-modification system M subunit,,PA4673,(RefSeq) GTP-dependent nucleic acid-binding protein EngD,,,
IYO_000135,transposase,Mobile element protein,Transposase,PST/PSPTO_5304,(RefSeq) ISPsy5 transposase,,PA3346,(RefSeq) two-component response regulator,pae02020 Two-component system; pae02025 Biofilm formation - Pseudomonas aeruginosa;,,
IYO_000140,transposase,Mobile element protein,transposase,PST/PSPTO_3966,(RefSeq) ISPsy5 Orf1,,PA5157,(RefSeq) transcriptional regulator,,; transposition ; transposition,
IYO_000145,type I restriction-modification system - M subunit,,type I restriction-modification system,PST/PSPTO_0005,(RefSeq) type I restriction-modification system M subunit,,PA2735,(RefSeq) restriction-modification system protein,,,
IYO_000150,restriction endonuclease subunit S,Type I restriction-modification system%2C specificity subunit S (EC 3.1.21.3),restriction modification system DNA specificity,PST/PSPTO_0006,(RefSeq) type I restriction-modification system S subunit EcoA family,,PA2734,(RefSeq) hypothetical protein,,,
IYO_000155,deoxyribonuclease HsdR,Type I restriction-modification system%2C restriction subunit R (EC 3.1.21.3),Type I site-specific deoxyribonuclease,PST/PSPTO_0008,(RefSeq) HsdR family type I site-specific deoxyribonuclease,,PA2732,(RefSeq) hypothetical protein,,,
IYO_000160,metal-dependent hydrolase,,Protein of unknown function DUF45,PST/PSPTO_0011,(RefSeq) hypothetical protein,,PA0560,(RefSeq) hypothetical protein,,,
IYO_000165,hypothetical protein,hypothetical protein,,PST/PSPTO_0013,(RefSeq) hypothetical protein,,PA2995,(RefSeq) Na(+)-translocating NADH-quinone reductase subunit E,,,
IYO_000170,hypothetical protein,hypothetical protein,,PST/PSPTO_0014,(RefSeq) hypothetical protein,,PA1779,(RefSeq) assimilatory nitrate reductase,pae00910 Nitrogen metabolism; pae01120 Microbial metabolism in diverse environments;,,
IYO_000175,hypothetical protein,,Protein of unknown function (DUF2384),PST/PSPTO_2967,(RefSeq) hypothetical protein,,PA2194,(RefSeq) hydrogen cyanide synthase subunit HcnB,pae00460 Cyanoamino acid metabolism; pae01110 Biosynthesis of secondary metabolites;,,
IYO_000180,haloacid dehalogenase,,HAD-superfamily hydrolase subfamily IA,PST/PSPTO_0025,(RefSeq) haloacid dehalogenase-like family hydrolase,,PA0576,(RefSeq) RNA polymerase sigma factor RpoD,,,
IYO_000185,hypothetical protein,hypothetical protein,,PST/PSPTO_0026,(RefSeq) hypothetical protein,,PA0330,(RefSeq) ribose-5-phosphate isomerase A,pae00030 Pentose phosphate pathway; pae01100 Metabolic pathways; pae01110 Biosynthesis of secondary metabolites; pae01120 Microbial metabolism in diverse environments; pae01130 Biosynthesis of antibiotics; pae01200 Carbon metabolism; pae01230 Biosynthesis of amino acids;,,
IYO_000190,hypothetical protein,,,PST/PSPTO_0027,(RefSeq) hypothetical protein,,PA1786,(RefSeq) hypothetical protein,,,
IYO_000195,transposase,Mobile element protein,Transposase,PST/PSPTO_1550,(RefSeq) acetyl-CoA carboxylase carboxyltransferase subunit alpha,pst00061 Fatty acid biosynthesis; pst00620 Pyruvate metabolism; pst00640 Propanoate metabolism; pst01100 Metabolic pathways; pst01110 Biosynthesis of secondary metabolites; pst01120 Microbial metabolism in diverse environments; pst01130 Biosynthesis of antibiotics; pst01200 Carbon metabolism; pst01212 Fatty acid metabolism;,PA1275,(RefSeq) cobalamin biosynthesis protein CobD,pae00860 Porphyrin and chlorophyll metabolism; pae01100 Metabolic pathways;,; transposase activity ; catalytic activity,
IYO_000200,hypothetical protein,,,PST/PSPTO_4225,(RefSeq) L-aspartate oxidase,pst00250 Alanine aspartate and glutamate metabolism; pst00760 Nicotinate and nicotinamide metabolism; pst01100 Metabolic pathways;,PA0690,(RefSeq) hypothetical protein,,,
IYO_000205,hypothetical protein,ATP-dependent DNA helicase RecQ,ATP-dependent DNA helicase RecQ,PST/PSPTO_5409,(RefSeq) ATP-dependent DNA helicase domain protein,pst03018 RNA degradation;,PA3344,(RefSeq) ATP-dependent DNA helicase RecQ,pae03018 RNA degradation;,,
IYO_000210,transposase,Mobile element protein,Transposase,PST/PSPTO_4695,(RefSeq) ISPsy13 transposase OrfA,,PA0979,(RefSeq) hypothetical protein,,,
IYO_000215,integrase,,Transposase,PST/PSPTO_4696,(RefSeq) ISPsy13 transposase OrfB,,PA1938,(RefSeq) hypothetical protein,,,
IYO_000220,amidohydrolase,Nitrilase (EC 3.5.5.1),Nitrilase,PST/PSPTO_0189,(RefSeq) nitrilase,pst00643 Styrene degradation; pst01120 Microbial metabolism in diverse environments;,PA0293,(RefSeq) N-carbamoylputrescine amidohydrolase,pae00330 Arginine and proline metabolism; pae01100 Metabolic pathways;,; hydrolase activity,
IYO_000225,AraC family transcriptional regulator,,transcriptional regulator arac family,PST/PSPTO_3050,(RefSeq) AraC family transcriptional regulator,,PA4094,(RefSeq) transcriptional regulator,,,
IYO_000230,glycerol acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),Phospholipid glycerol acyltransferase,PST/PSPTO_0187,(RefSeq) hdtS protein,pst00561 Glycerolipid metabolism; pst00564 Glycerophospholipid metabolism; pst01100 Metabolic pathways; pst01110 Biosynthesis of secondary metabolites;,PA0005,(RefSeq) lysophosphatidic acid acyltransferase,pae00561 Glycerolipid metabolism; pae00564 Glycerophospholipid metabolism; pae01100 Metabolic pathways; pae01110 Biosynthesis of secondary metabolites;,; plasma membrane ; cellular_component ; membrane ; cell part ; cell periphery ; cell ; modification of morphology or physiology of other organism involved in symbiotic interaction; modification of morphology or physiology of other organism; multi-organism cellular process; homeostatic process ; interspecies interaction between organisms; multi-organism process ; regulation of biological quality; cellular lipid metabolic process; lipid metabolic process ; biological regulation ; metabolic process ; cellular metabolic process ; primary metabolic process ; organic substance metabolic process; cellular process ;biological_process ;,
IYO_000235,histidinol phosphatase,D-glycero-D-manno-heptose 1%2C7-bisphosphate phosphatase (EC 3.1.1.-)%3B Histidinol-phosphatase (EC 3.1.3.15),dd-heptose 17-bisphosphate phosphatase,PST/PSPTO_0186,(RefSeq) DD-heptose 17-bisphosphate phosphatase,pst00540 Lipopolysaccharide biosynthesis; pst01100 Metabolic pathways;,PA0006,(RefSeq) D-glycero-beta-D-manno-heptose-17-bisphosphate 7-phosphatase,pae00540 Lipopolysaccharide biosynthesis; pae01100 Metabolic pathways;,; phosphatase activity ; phosphoric ester hydrolase activity; zinc ion binding ; magnesium ion binding ; transition metal ion binding ; hydrolase activity,
IYO_000240,glycine-tRNA synthetase subunit beta,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14),Glycyl-tRNA synthetase beta subunit,PST/PSPTO_0185,(RefSeq) glycyl-tRNA synthetase subunit beta,pst00970 Aminoacyl-tRNA biosynthesis;,PA0008,(RefSeq) glycine--tRNA ligase subunit beta,pae00970 Aminoacyl-tRNA biosynthesis;,; protein dimerization activity ; aminoacyl-tRNA ligase activity; ligase activity,
IYO_000245,glycyl-tRNA synthetase,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),glycyl-tRNA synthetase alpha subunit,PST/PSPTO_0184,(RefSeq) glycyl-tRNA synthetase subunit alpha,pst00970 Aminoacyl-tRNA biosynthesis;,PA0009,(RefSeq) glycine--tRNA ligase subunit alpha,pae00970 Aminoacyl-tRNA biosynthesis;,; cytoplasm ; cellular_component ; cell part ; cell ; intracellular part ;intracellular ;,
IYO_000250,3-methyladenine DNA glycosylase,,Dna-3-methyladenine glycosylase i,PST/PSPTO_0183,(RefSeq) DNA-3-methyladenine glycosidase I,pst03410 Base excision repair;,PA0010,(RefSeq) DNA-3-methyladenine glycosidase I,pae03410 Base excision repair;,; DNA N-glycosylase activity ; hydrolase activity,
IYO_000255,lipid A biosynthesis lauroyl acyltransferase,,Lipid A Biosynthesis,PST/PSPTO_0182,(RefSeq) lipid A biosynthesis lauroyl acyltransferase,pst00540 Lipopolysaccharide biosynthesis; pst01100 Metabolic pathways;,PA0011,(RefSeq) lipid A biosynthesis lauroyl acyltransferase,pae00540 Lipopolysaccharide biosynthesis; pae01100 Metabolic pathways;,,
IYO_000260,formate dehydrogenase,Putative formate dehydrogenase oxidoreductase protein,molybdopterin oxidoreductase,PST/PSPTO_0181,(RefSeq) molybdopterin oxidoreductase subunit alpha,,PA5181,(RefSeq) oxidoreductase,,,
IYO_000265,trkA,Trk system potassium uptake protein TrkA,potassium transporter peripheral membrane,PST/PSPTO_0180,(RefSeq) Trk system potassium uptake protein TrkA,,PA0016,(RefSeq) potassium transporter inner membrane associated protein,,; potassium ion transmembrane transporter activity; metal ion transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; inorganic cation transmembrane transporter activity; cation transmembrane transporter activity; inorganic molecular entity transmembrane transporter activity; ion transmembrane transporter activity; transmembrane transporter activity; transporter activity ; molecular_function ; plasma membrane ; cellular_component ; membrane ; cell part ; cell periphery ; cell ; potassium ion transmembrane transport; potassium ion transport ; cellular potassium ion transport; metal ion transport ; monovalent inorganic cation transport; inorganic cation transmembrane transport; cation transmembrane transport; inorganic ion transmembrane transport; cation transport ; ion transmembrane transport ; ion transport ; transmembrane transport ; transport ; establishment of localization ; localization ; cellular process ;biological_process ;,
IYO_000270,16S rRNA methyltransferase,Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-),Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA (By similarity),PST/PSPTO_0179,(RefSeq) sun protein,,PA0017,(RefSeq) Ribosomal RNA small subunit methyltransferase B,,; rRNA (cytosine) methyltransferase activity; C-methyltransferase activity ; rRNA methyltransferase activity; catalytic activity,
IYO_000275,fmt,Methionyl-tRNA formyltransferase (EC 2.1.2.9),Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity),PST/PSPTO_0178,(RefSeq) methionyl-tRNA formyltransferase,pst00670 One carbon pool by folate; pst00970 Aminoacyl-tRNA biosynthesis;,PA0018,(RefSeq) methionyl-tRNA formyltransferase,pae00670 One carbon pool by folate; pae00970 Aminoacyl-tRNA biosynthesis;,; hydroxymethyl-,
IYO_000280,peptide deformylase,Peptide deformylase (EC 3.5.1.88),Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity),PST/PSPTO_0177,(RefSeq) polypeptide deformylase,,PA0019,(RefSeq) peptide deformylase,,; ferrous iron binding ; iron ion binding ; hydrolase activity,
IYO_000285,peptidoglycan-binding protein,Uncharacterized protein with LysM domain%2C COG1652,LysM domain-containing protein,PST/PSPTO_0176,(RefSeq) LysM domain-containing protein,,PA0020,(RefSeq) hypothetical protein,,,
IYO_000290,DNA processing protein DprA,Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake,DNA protecting protein DprA,PST/PSPTO_0175,(RefSeq) DNA processing protein DprA,,PA0021,(RefSeq) hypothetical protein,,,
IYO_000295,tRNA threonylcarbamoyladenosine biosynthesis protein RimN,TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA,Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity),PST/PSPTO_0174,(RefSeq) SUA5/yciO/yrdC family domain protein,,PA0022,(RefSeq) threonylcarbamoyl-AMP synthase,,; tRNA binding ; RNA binding ; ATP binding ; adenyl ribonucleotide binding ; adenyl nucleotide binding ; purine ribonucleoside triphosphate binding; purine ribonucleoside binding ; purine nucleoside binding ; ribonucleoside binding ; nucleoside binding ; purine ribonucleotide binding ; purine nucleotide binding ; ribonucleotide binding ; carbohydrate derivative binding; drug binding ; nucleic acid binding ; nucleotide binding ; nucleoside phosphate binding ; anion binding ; small molecule binding ; heterocyclic compound binding ; organic cyclic compound binding; ion binding ; binding ; molecular_function ; cytoplasm ; cellular_component ; cell part ; cell ; intracellular part ; intracellular ; adenosine metabolic process ; tRNA modification ; tRNA processing ; tRNA metabolic process ; RNA modification ; ncRNA processing ; RNA processing ; ncRNA metabolic process ; macromolecule modification ; RNA metabolic process ; purine ribonucleoside metabolic process; purine nucleoside metabolic process; glycosyl compound metabolic process; ribonucleoside metabolic process; nucleoside metabolic process ; gene expression ; purine-containing compound metabolic process; nucleobase-containing small molecule metabolic process; drug metabolic process ; carbohydrate derivative metabolic process; nucleic acid metabolic process; cellular macromolecule metabolic process; nucleobase-containing compound metabolic process; small molecule metabolic process; macromolecule metabolic process; heterocycle metabolic process ; cellular aromatic compound metabolic process; organic cyclic compound metabolic process; organonitrogen compound metabolic process; nitrogen compound metabolic process; cellular nitrogen compound metabolic process; metabolic process ; cellular metabolic process ; primary metabolic process ; organic substance metabolic process; cellular process ;biological_process ;,
IYO_000300,quinone oxidoreductase,Quinone oxidoreductase (EC 1.6.5.5),alcohol dehydrogenase,PST/PSPTO_0173,(RefSeq) quinone oxidoreductase,,PA0023,(RefSeq) oxygen-dependent quinone oxidoreductase,,; oxidoreductase activity,
IYO_000305,coproporphyrinogen III oxidase,Coproporphyrinogen III oxidase%2C aerobic (EC 1.3.3.3),Key enzyme in heme biosynthesis. Catalyzes the oxidative decarboxylation of propionic acid side chains of rings A and B of coproporphyrinogen III (By similarity),PST/PSPTO_0170,(RefSeq) coproporphyrinogen III oxidase,pst00860 Porphyrin and chlorophyll metabolism; pst01100 Metabolic pathways; pst01110 Biosynthesis of secondary metabolites;,PA0024,(RefSeq) coproporphyrinogen III oxidase,pae00860 Porphyrin and chlorophyll metabolism; pae01100 Metabolic pathways; pae01110 Biosynthesis of secondary metabolites;,; oxidoreductase activity,
IYO_000310,aroE,Coproporphyrinogen III oxidase%2C aerobic (EC 1.3.3.3) Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25),shikimate dehydrogenase,PST/PSPTO_0169,(RefSeq) shikimate 5-dehydrogenase,pst00400 Phenylalanine tyrosine and tryptophan biosynthesis; pst01100 Metabolic pathways; pst01110 Biosynthesis of secondary metabolites; pst01130 Biosynthesis of antibiotics; pst01230 Biosynthesis of amino acids;,PA0025,(RefSeq) shikimate dehydrogenase,pae00400 Phenylalanine tyrosine and tryptophan biosynthesis; pae01100 Metabolic pathways; pae01110 Biosynthesis of secondary metabolites; pae01130 Biosynthesis of antibiotics; pae01230 Biosynthesis of amino acids;,,
IYO_000315,SulP family inorganic anion transporter,Sulfate permease,Sulfate transporter,PST/PSPTO_0168,(RefSeq) sulfate transporter family protein,,PA0029,(RefSeq) sulfate transporter,,,
IYO_000320,glycine/betaine ABC transporter substrate-binding protein,L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1),ABC transporter substrate-binding protein,PST/PSPTO_0166,(RefSeq) glycine/betaine family ABC transporter substrate-binding protein,pst02010 ABC transporters;,PA0030,(RefSeq) hypothetical protein,pae02010 ABC transporters;,,
IYO_000325,choline-sulfatase,Choline-sulfatase (EC 3.1.6.6),choline-sulfatase (EC 3.1.6.6),PST/PSPTO_0165,(RefSeq) sulfatase family protein,,PA0031,(RefSeq) choline sulfatase,,; hydrolase activity,
IYO_000330,LysR family transcriptional regulator,Transcriptional regulator%2C LysR family,LysR family transcriptional regulator,PST/PSPTO_0164,(RefSeq) LysR family transcriptional regulator,,PA0032,(RefSeq) transcriptional regulator,,,
IYO_000335,hypothetical protein,,,PST/PSPTO_4108,(RefSeq) leucine ABC transporter subunit substrate-binding protein LivK,pst02010 ABC transporters; pst02024 Quorum sensing;,PA2017,(RefSeq) hypothetical protein,,,
IYO_000340,hypothetical protein,,,PST/PSPTO_2608,(RefSeq) Sco1/SenC family protein,,PA3570,(RefSeq) methylmalonate-semialdehyde dehydrogenase,pae00280 Valine leucine and isoleucine degradation; pae00410 beta-Alanine metabolism; pae00562 Inositol phosphate metabolism; pae00640 Propanoate metabolism; pae01100 Metabolic pathways; pae01200 Carbon metabolism;,,
IYO_000345,hypothetical protein,,,PST/PSPTO_4492,(RefSeq) hypothetical protein,,PA4746,(RefSeq) hypothetical protein,,,
IYO_000350,4 -5-dioxygenase,,dopa 45-dioxygenase,PST/PSPTO_0163,(RefSeq) hypothetical protein,,PA5072,(RefSeq) chemotaxis transducer,pae02020 Two-component system; pae02030 Bacterial chemotaxis;,,
IYO_000355,2-succinyl-6-hydroxy-2 - 4-cyclohexadiene-1-carboxylate synthase,Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24),hydrolase,PST/PSPTO_0162,(RefSeq) 3-oxoadipate enol-lactone hydrolase family protein,,PA0480,(RefSeq) 3-oxoadipate enol-lactonase,pae00362 Benzoate degradation; pae01100 Metabolic pathways; pae01120 Microbial metabolism in diverse environments; pae01220 Degradation of aromatic compounds;,; hydrolase activity ; molecular_function ; catalytic activity ; aromatic compound catabolic process; cellular catabolic process ; catabolic process ; cellular aromatic compound metabolic process; metabolic process ; cellular metabolic process ; cellular process ;biological_process ;,
IYO_000360,hypothetical protein,CigR (Putative inner membrane protein),,PST/PSPTO_0161,(RefSeq) hypothetical protein,,PA2562,(RefSeq) hypothetical protein,,,
