rfamAcc	rfamId	minExpressionRank	maxF84	numSpecies
RF01399	isrQ	5188	0.02	29
RF01400	istR	792	0.05	108
RF01401	rseX	837	0.04	90
RF01402	STnc150	5160	0.06	45
RF01403	STnc290	5171	0.02	25
RF01404	STnc440	6257	0.03	30
RF01405	STnc490k	1543	0.34	131
RF01406	STnc500	1321	0.02	28
RF01407	STnc560	621	0.04	99
RF01408	sraL	650	0.42	279
RF01409	STnc250	697	0.29	89
RF01410	BsrC	1357	0.17	160
RF01411	BsrF	473	0.14	119
RF01416	NrrF	144	0.38	76
RF01419	IsrR	11	0.27	73
RF01457	rli22	2172	0.01	32
RF01458	rli23	154	0.36	75
RF01459	rliE	2169	0.01	31
RF01460	rliH	1683	0.01	31
RF01461	rli24	667	0.01	27
RF01462	rli26	668	0.01	28
RF01463	rli27	290	0.01	28
RF01464	rliA	3241	0.00	22
RF01465	rli31	389	0.01	30
RF01466	rli34	3244	0.30	35
RF01467	rli36	1494	0.39	37
RF01468	rli32	151	0.01	31
RF01469	rli33	2775	0.36	34
RF01470	rli38	2774	0.45	477
RF01471	rliB	963	0.01	29
RF01472	rli40	499	0.01	31
RF01473	rli41	1489	0.01	29
RF01474	rli42	64	0.41	76
RF01475	rli45	1217	0.01	31
RF01476	rliF	3236	0.00	23
RF01477	rli43	1684	0.00	23
RF01478	rli47	100	0.01	31
RF01480	rli52	965	0.01	29
RF01481	rli53	1495	0.01	31
RF01482	AdoCbl_riboswitch	889	0.37	57
RF01483	rli56	34	0.01	31
RF01484	rli59	701	0.01	29
RF01485	rli61	120	0.01	31
RF01487	rliI	234	0.41	48
RF01488	rli49	1907	0.00	26
RF01489	sbrA	55	0.10	33
RF01490	rli51	390	0.42	36
RF01491	rli54	740	0.01	29
RF01492	rli28	111	0.20	147
RF01493	rli37	1685	0.01	29
RF01494	rliD	666	0.17	40
RF01497	ALIL	184	0.35	199
RF01517	iscRS	250	0.06	127
RF01665	P13	5214	0.00	8
RF01668	P10	2632	0.48	867
RF01669	P14	1029	0.07	40
RF01670	P17	3957	0.42	169
RF01671	P18	2629	0.26	29
RF01672	P2	943	0.00	8
RF01673	P20	164	0.30	48
RF01674	P27	27	0.07	42
RF01675	CrcZ	6	0.07	42
RF01676	P31	752	0.42	169
RF01677	P35	2913	0.00	8
RF01678	P37	956	0.00	8
RF01679	P36	2705	0.06	11
RF01680	P5	1241	0.00	8
RF01681	P4	2392	0.46	447
RF01682	P8	2391	0.00	8
RF01683	P6	1851	0.33	75
RF01688	Actino-pnp	54	0.45	221
RF01693	Bacteroidales-1	15	0.30	20
RF01695	C4	124	0.43	393
RF01701	Cyano-1	48	0.27	72
RF01704	Downstream-peptide	61	0.41	41
RF01707	JUMPstart	162	0.20	213
RF01708	L17DE	198	0.38	220
RF01719	Pseudomon-1	320	0.07	42
RF01720	Pseudomon-Rho	599	0.33	55
RF01721	Pseudomon-groES	124	0.26	43
RF01725	SAM-I-IV-variant	427	0.44	127
RF01726	SAM-II_long_loops	535	0.44	62
RF01727	SAM-SAH	55	0.10	17
RF01728	STAXI	3018	0.09	63
RF01734	crcB	40	0.50	557
RF01735	epsC	1625	0.24	123
RF01738	gabT	458	0.22	40
RF01739	glnA	2223	0.45	88
RF01740	gyrA	802	0.06	32
RF01741	hopC	20	0.02	44
RF01746	mraW	366	0.45	364
RF01748	nuoG	185	0.22	138
RF01749	pan	548	0.50	401
RF01750	pfl	259	0.43	386
RF01754	radC	355	0.42	204
RF01755	rmf	29	0.07	42
RF01756	rne-II	209	0.07	42
RF01758	sucA-II	133	0.07	42
RF01759	sucC	94	0.12	34
RF01760	traJ-II	1821	0.30	45
RF01763	ykkC-III	3102	0.41	122
RF01764	yjdF	487	0.35	241
RF01766	cspA	16	0.44	1077
RF01769	greA	622	0.09	187
RF01770	rimP	632	0.17	226
RF01771	rnk_leader	579	0.41	166
RF01772	rnk_pseudo	2674	0.20	35
RF01773	rpsL_psuedo	85	0.07	42
RF01775	RsaOG	2602	0.03	48
RF01776	RatA	33	0.20	142
RF01779	AS1726	5014	0.01	34
RF01780	AS1890	3254	0.37	84
RF01781	ASdes	64	0.15	109
RF01782	ASpks	1387	0.15	85
RF01783	b55	53	0.01	34
RF01786	c-di-GMP-II	134	0.38	90
RF01791	F6	150	0.12	77
RF01793	ffh	2900	0.25	117
RF01794	sok	67	0.14	133
RF01795	FourU	1546	0.04	34
RF01796	frnS	655	0.09	189
RF01797	fstAT	216	0.03	50
RF01798	g2	1469	0.01	34
RF01808	MicX	276	0.41	131
RF01809	symR	3474	0.23	90
RF01811	PtaRNA1	2388	0.25	25
RF01813	rdlD	578	0.30	108
RF01816	RsaA	181	0.02	47
RF01817	RsaB	3487	0.26	42
RF01818	RsaC	225	0.00	41
RF01819	RsaD	1334	0.03	48
RF01820	RsaE	228	0.15	134
RF01821	RsaH	1914	0.03	50
RF01822	RsaJ	3440	0.00	40
RF01828	SprD	3519	0.00	33
RF01830	StyR-44	43	0.09	190
RF01832	ROSE_2	616	0.07	133
RF01843	neisseria_FSE	1791	0.23	18
RF01849	alpha_tmRNA	228	0.28	237
RF01850	beta_tmRNA	1	0.23	14
RF01851	cyano_tmRNA	634	0.13	20
RF01852	tRNA-Sec	420	0.49	532
RF01854	Bacteria_large_SRP	13	0.50	468
RF01858	RsaF	2039	0.44	54
RF01859	Phe_leader	659	0.39	244
RF01867	CC2171	1469	0.33	73
RF01988	SECIS_2	646	0.16	137
RF01989	SECIS_3	217	0.43	430
RF01990	SECIS_4	674	0.41	60
RF01998	group-II-D1D4-1	594	0.48	219
RF01999	group-II-D1D4-2	836	0.44	94
RF02001	group-II-D1D4-3	750	0.48	274
RF02003	group-II-D1D4-4	1985	0.43	114
RF02004	group-II-D1D4-5	717	0.33	91
RF02005	group-II-D1D4-6	831	0.44	83
RF02012	group-II-D1D4-7	901	0.43	120
RF02029	sraA	546	0.12	186
RF02030	tp2	377	0.09	185
RF02031	tpke11	135	0.15	203
RF02048	STnc30	1324	0.02	28
RF02050	STnc470	3475	0.02	28
RF02051	STnc450	607	0.05	126
RF02052	STnc630	389	0.04	100
RF02053	STnc430	822	0.33	115
RF02054	STnc420	5176	0.02	28
RF02055	STnc380	3471	0.23	65
RF02056	STnc390	6253	0.03	30
RF02057	STnc40	364	0.26	137
RF02059	STnc50	5165	0.02	29
RF02060	STnc410	758	0.05	110
RF02062	STnc361	3472	0.03	30
RF02063	STnc350	3473	0.02	29
RF02064	STnc370	522	0.42	342
RF02065	STnc340	6256	0.03	30
RF02066	STnc320	4138	0.03	30
RF02067	STnc310	6251	0.03	30
RF02068	STnc480	824	0.05	87
RF02069	STnc70	1322	0.36	123
RF02070	STnc300	5173	0.02	29
RF02071	STnc280	2106	0.02	29
RF02073	STnc260	5170	0.02	28
RF02074	STnc240	698	0.07	160
RF02075	STnc230	838	0.05	47
RF02076	STnc100	81	0.41	196
RF02077	STnc220	5192	0.02	29
RF02078	STnc210	4117	0.03	30
RF02079	STnc180	568	0.05	112
RF02080	STnc170	2347	0.02	28
RF02081	STnc550	569	0.07	169
RF02082	STnc540	564	0.05	104
RF02083	OrzO-P	789	0.02	61
RF02084	STnc130	811	0.38	125
RF02088	STnc510	4119	0.03	30
RF02111	IS009	577	0.02	67
RF02194	HPnc0260	57	0.34	147
RF02221	sRNA-Xcc1	6	0.32	125
RF02222	sX2	2666	0.00	13
RF02223	sX4	72	0.20	20
RF02224	sX5	556	0.05	18
RF02225	sX6	311	0.43	119
RF02226	sX7	298	0.00	13
RF02228	sX9	432	0.34	26
RF02230	sX11	38	0.04	17
RF02231	sX12	1565	0.00	13
RF02232	sX13	23	0.06	25
RF02233	sX14	3486	0.00	13
RF02234	sX15	75	0.33	13
RF02235	asX1	2608	0.30	33
RF02236	asX2	5169	0.00	5
RF02237	asX3	1086	0.00	9
RF02238	asX4	2420	0.00	13
RF02240	Xoo1	28	0.04	17
RF02241	Xoo2	3677	0.05	19
RF02242	Xoo5	98	0.06	20
RF02243	Xoo8	268	0.25	89
RF02269	HPnc0580	46	0.05	45
RF02270	nse_sRNA	1789	0.03	16
RF02274	AniS	43	0.03	17
RF02278	Betaproteobacteria_toxic_sRNA	1222	0.15	112
