pfamAcc	pfamId	minExpressionRank	maxF84	numSpecies
PF00205	TPP_enzyme_M	89	0.61	2057
PF00206	Lyase_1	101	0.58	2325
PF00207	A2M	448	0.48	550
PF00208	ELFV_dehydrog	37	0.50	1706
PF00209	SNF	221	0.47	888
PF00210	Ferritin	17	0.50	2064
PF00211	Guanylate_cyc	1017	0.46	750
PF00213	OSCP	62	0.57	2154
PF00215	OMPdecase	250	0.50	2123
PF00216	Bac_DNA_binding	4	0.57	2282
PF00217	ATP-gua_Ptrans	645	0.50	466
PF00218	IGPS	233	0.50	1847
PF00221	Lyase_aromatic	733	0.48	931
PF00223	PsaA_PsaB	21	0.33	85
PF00224	PK	178	0.56	2118
PF00226	DnaJ	65	0.57	2384
PF00227	Proteasome	224	0.50	1622
PF00230	MIP	496	0.50	1458
PF00231	ATP-synt	95	0.61	2184
PF00232	Glyco_hydro_1	626	0.50	1056
PF00237	Ribosomal_L22	32	0.61	2319
PF00238	Ribosomal_L14	21	0.61	2319
PF00239	Resolvase	196	0.50	1472
PF00245	Alk_phosphatase	685	0.48	792
PF00246	Peptidase_M14	634	0.48	804
PF00248	Aldo_ket_red	164	0.57	2003
PF00251	Glyco_hydro_32N	1897	0.50	789
PF00252	Ribosomal_L16	30	0.61	2318
PF00253	Ribosomal_S14	24	0.61	2325
PF00254	FKBP_C	12	0.50	2252
PF00255	GSHPx	568	0.48	1270
PF00258	Flavodoxin_1	107	0.50	1617
PF00263	Secretin	137	0.47	1124
PF00264	Tyrosinase	1901	0.43	92
PF00265	TK	246	0.55	1228
PF00266	Aminotran_5	175	0.61	2425
PF00267	Porin_1	21	0.26	273
PF00268	Ribonuc_red_sm	97	0.57	1830
PF00269	SASP	73	0.39	293
PF00270	DEAD	155	0.50	2417
PF00271	Helicase_C	120	0.55	2453
PF00274	Glycolytic	196	0.48	325
PF00275	EPSP_synthase	174	0.61	2290
PF00276	Ribosomal_L23	17	0.57	2306
PF00278	Orn_DAP_Arg_deC	324	0.61	2104
PF00281	Ribosomal_L5	25	0.61	2313
PF00282	Pyridoxal_deC	309	0.47	958
PF00283	Cytochrom_B559	9	0.27	71
PF00284	Cytochrom_B559a	14	0.27	71
PF00285	Citrate_synt	37	0.49	1843
PF00288	GHMP_kinases_N	203	0.50	2193
PF00289	CPSase_L_chain	126	0.61	2277
PF00290	Trp_syntA	487	0.50	1873
PF00291	PALP	23	0.58	2273
PF00293	NUDIX	169	0.50	2336
PF00294	PfkB	245	0.51	2211
PF00295	Glyco_hydro_28	1567	0.43	239
PF00296	Bac_luciferase	80	0.48	1344
PF00297	Ribosomal_L3	29	0.61	2319
PF00298	Ribosomal_L11	8	0.60	2318
PF00300	His_Phos_1	289	0.50	2149
PF00301	Rubredoxin	93	0.48	972
PF00302	CAT	1950	0.44	246
PF00303	Thymidylat_synt	119	0.50	1630
PF00305	Lipoxygenase	6295	0.31	35
PF00306	ATP-synt_ab_C	67	0.61	2328
PF00308	Bac_DnaA	372	0.51	2307
PF00309	Sigma54_AID	64	0.50	1383
PF00310	GATase_2	187	0.50	2008
PF00311	PEPcase	675	0.45	1142
PF00312	Ribosomal_S15	22	0.61	2320
PF00313	CSD	14	0.61	1985
PF00314	Thaumatin	1937	0.29	29
PF00316	FBPase	290	0.46	895
PF00317	Ribonuc_red_lgN	98	0.57	1989
PF00318	Ribosomal_S2	22	0.61	2320
PF00321	Thionin	1844	0.27	8
PF00324	AA_permease	167	0.55	1318
PF00325	Crp	436	0.43	617
PF00326	Peptidase_S9	437	0.50	1466
PF00327	Ribosomal_L30	23	0.50	1933
PF00328	His_Phos_2	217	0.42	320
PF00329	Complex1_30kDa	207	0.50	1430
PF00330	Aconitase	114	0.61	2024
PF00331	Glyco_hydro_10	1523	0.47	248
PF00332	Glyco_hydro_17	3260	0.39	48
PF00333	Ribosomal_S5	2	0.61	2321
PF00334	NDK	87	0.50	1983
PF00338	Ribosomal_S10	25	0.61	2317
PF00342	PGI	103	0.56	2176
PF00343	Phosphorylase	429	0.50	1465
PF00344	SecY	14	0.57	2311
PF00345	PapD_N	273	0.40	477
PF00346	Complex1_49kDa	166	0.50	1429
PF00347	Ribosomal_L6	15	0.61	2318
PF00348	polyprenyl_synt	259	0.50	2258
PF00350	Dynamin_N	218	0.47	789
PF00351	Biopterin_H	425	0.46	414
PF00353	HemolysinCabind	29	0.44	457
PF00355	Rieske	105	0.50	1564
PF00356	LacI	412	0.50	1678
PF00358	PTS_EIIA_1	27	0.52	1116
PF00359	PTS_EIIA_2	49	0.50	1676
PF00360	PHY	1034	0.46	216
PF00361	Oxidored_q1	315	0.50	1751
PF00364	Biotin_lipoyl	30	0.50	2379
PF00365	PFK	145	0.57	1695
PF00366	Ribosomal_S17	26	0.61	2318
PF00367	PTS_EIIB	28	0.52	1100
PF00368	HMG-CoA_red	739	0.46	466
PF00370	FGGY_N	193	0.51	1899
PF00374	NiFeSe_Hases	490	0.44	694
PF00375	SDF	154	0.50	1765
PF00376	MerR	296	0.46	796
PF00378	ECH	135	0.50	1836
PF00380	Ribosomal_S9	28	0.61	2318
PF00381	PTS-HPr	45	0.56	1811
PF00383	dCMP_cyt_deam_1	51	0.50	2395
PF00384	Molybdopterin	56	0.50	1812
PF00386	C1q	3400	0.40	113
PF00388	PI-PLC-X	312	0.41	195
PF00390	malic	281	0.50	1820
PF00391	PEP-utilizers	94	0.57	2241
PF00392	GntR	229	0.50	2005
PF00393	6PGD	268	0.61	1511
PF00394	Cu-oxidase	324	0.47	813
PF00395	SLH	8	0.44	313
PF00398	RrnaAD	176	0.57	2309
PF00400	WD40	15	0.47	425
PF00401	ATP-synt_DE	107	0.44	1190
PF00403	HMA	130	0.50	1959
PF00406	ADK	55	0.57	2304
PF00408	PGM_PMM_IV	206	0.51	2311
PF00410	Ribosomal_S8	39	0.61	2320
PF00411	Ribosomal_S11	19	0.61	2316
PF00413	Peptidase_M10	160	0.46	407
PF00415	RCC1	428	0.44	149
PF00416	Ribosomal_S13	13	0.61	2318
PF00419	Fimbrial	116	0.26	331
PF00420	Oxidored_q2	246	0.50	1668
PF00421	PSII	5	0.27	72
PF00425	Chorismate_bind	495	0.58	1991
PF00427	PBS_linker_poly	131	0.34	63
PF00430	ATP-synt_B	44	0.50	2147
PF00436	SSB	27	0.57	2313
PF00437	T2SE	243	0.50	2117
PF00438	S-AdoMet_synt_N	57	0.57	2219
PF00440	TetR_N	60	0.50	2079
PF00441	Acyl-CoA_dh_1	36	0.50	1528
PF00444	Ribosomal_L36	12	0.61	2323
PF00445	Ribonuclease_T2	701	0.33	412
PF00448	SRP54	94	0.57	2322
PF00449	Urease_alpha	74	0.46	804
PF00450	Peptidase_S10	779	0.46	284
PF00453	Ribosomal_L20	45	0.61	2320
PF00454	PI3_PI4_kinase	2189	0.44	179
PF00455	DeoRC	281	0.50	1534
PF00456	Transketolase_N	103	0.61	2284
PF00459	Inositol_P	173	0.49	1977
PF00460	Flg_bb_rod	77	0.46	1190
PF00462	Glutaredoxin	22	0.47	1885
PF00463	ICL	53	0.46	841
PF00464	SHMT	77	0.61	2302
PF00465	Fe-ADH	99	0.57	1716
PF00466	Ribosomal_L10	3	0.57	2313
PF00467	KOW	25	0.57	2283
PF00468	Ribosomal_L34	66	0.57	2288
PF00471	Ribosomal_L33	10	0.61	2321
PF00472	RF-1	279	0.61	2360
PF00474	SSF	225	0.50	1695
PF00475	IGPD	564	0.58	1779
PF00476	DNA_pol_A	517	0.50	2210
PF00478	IMPDH	253	0.57	2156
PF00479	G6PD_N	408	0.46	1662
PF00480	ROK	355	0.50	1758
PF00481	PP2C	535	0.50	665
PF00482	T2SF	378	0.50	1922
PF00483	NTP_transferase	101	0.50	2306
PF00484	Pro_CA	71	0.50	1677
PF00485	PRK	88	0.48	1638
PF00486	Trans_reg_C	83	0.50	2332
PF00487	FA_desaturase	151	0.46	1070
PF00488	MutS_V	719	0.50	1964
PF00490	ALAD	450	0.50	1816
PF00491	Arginase	175	0.50	1382
PF00493	MCM	2974	0.26	16
PF00494	SQS_PSY	750	0.46	895
PF00496	SBP_bac_5	15	0.50	2140
PF00497	SBP_bac_3	41	0.50	2162
PF00498	FHA	162	0.48	932
PF00499	Oxidored_q3	243	0.50	1349
PF00501	AMP-binding	85	0.50	2258
PF00502	Phycobilisome	24	0.40	73
PF00504	Chloroa_b-bind	116	0.27	72
PF00507	Oxidored_q4	137	0.50	1349
PF00509	Hemagglutinin	2354	0.39	42
PF00510	COX3	36	0.58	1488
PF00512	HisKA	62	0.50	2361
PF00515	TPR_1	184	0.50	1234
PF00520	Ion_trans	1870	0.48	493
PF00521	DNA_topoisoIV	269	0.57	2329
PF00528	BPD_transp_1	76	0.57	2408
PF00529	HlyD	175	0.49	1208
PF00532	Peripla_BP_1	868	0.46	909
PF00533	BRCT	439	0.55	2261
PF00534	Glycos_transf_1	152	0.50	2305
PF00535	Glycos_transf_2	163	0.50	2250
PF00542	Ribosomal_L12	1	0.61	2324
PF00543	P-II	115	0.49	1445
PF00544	Pec_lyase_C	3805	0.45	177
PF00545	Ribonuclease	1087	0.43	374
PF00547	Urease_gamma	101	0.46	789
PF00549	Ligase_CoA	16	0.50	1597
PF00550	PP-binding	17	0.50	2375
PF00551	Formyl_trans_N	265	0.50	2364
PF00553	CBM_2	1384	0.39	255
PF00556	LHC	41	0.36	42
PF00557	Peptidase_M24	5	0.57	2401
PF00560	LRR_1	3009	0.46	311
PF00561	Abhydrolase_1	175	0.46	1535
PF00562	RNA_pol_Rpb2_6	172	0.61	2320
PF00563	EAL	426	0.46	1567
PF00565	SNase	364	0.48	738
PF00570	HRDC	391	0.50	1644
PF00571	CBS	31	0.57	2439
PF00572	Ribosomal_L13	15	0.61	2312
PF00573	Ribosomal_L4	31	0.61	2321
PF00574	CLP_protease	90	0.61	2266
PF00575	S1	16	0.61	2394
PF00576	Transthyretin	1193	0.44	581
PF00577	Usher	339	0.39	455
PF00578	AhpC-TSA	17	0.61	2241
PF00579	tRNA-synt_1b	379	0.61	2376
PF00580	UvrD-helicase	443	0.57	2363
PF00581	Rhodanese	45	0.50	2284
PF00582	Usp	39	0.50	2055
PF00583	Acetyltransf_1	56	0.50	2285
PF00584	SecE	16	0.50	2272
PF00585	Thr_dehydrat_C	683	0.47	1186
PF00586	AIRS	160	0.50	2153
PF00587	tRNA-synt_2b	58	0.61	2364
PF00588	SpoU_methylase	134	0.61	2342
PF00589	Phage_integrase	36	0.50	2348
PF00590	TP_methylase	123	0.50	2355
PF00591	Glycos_transf_3	55	0.50	2066
PF00593	TonB_dep_Rec	72	0.49	1159
PF00595	PDZ	151	0.48	1017
PF00596	Aldolase_II	300	0.50	1749
PF00614	PLDc	3610	0.49	183
PF00617	RasGEF	3292	0.34	16
PF00623	RNA_pol_Rpb1_2	128	0.61	2324
PF00625	Guanylate_kin	166	0.57	2257
PF00627	UBA	21	0.52	2257
PF00633	HHH	1390	0.42	269
PF00636	Ribonuclease_3	79	0.41	664
PF00639	Rotamase	138	0.50	1200
PF00642	zf-CCCH	3133	0.35	57
PF00643	zf-B_box	123	0.45	48
PF00646	F-box	3565	0.38	32
PF00648	Peptidase_C2	2379	0.43	32
PF00652	Ricin_B_lectin	922	0.39	203
PF00654	Voltage_CLC	1098	0.50	1524
PF00656	Peptidase_C14	360	0.46	362
PF00657	Lipase_GDSL	194	0.44	449
PF00662	Oxidored_q1_N	240	0.50	1595
PF00664	ABC_membrane	155	0.50	2393
PF00665	rve	104	0.50	1711
PF00667	FAD_binding_1	403	0.44	785
PF00668	Condensation	246	0.50	936
PF00669	Flagellin_N	4	0.46	1178
PF00670	AdoHcyase_NAD	715	0.44	110
PF00672	HAMP	93	0.50	2289
PF00673	Ribosomal_L5_C	18	0.61	2315
PF00675	Peptidase_M16	236	0.50	2072
PF00676	E1_dh	7	0.50	1980
PF00677	Lum_binding	207	0.50	1930
PF00679	EFG_C	21	0.61	2386
PF00682	HMGL-like	237	0.61	2035
PF00683	TB	1924	0.39	9
PF00684	DnaJ_CXXCXGXG	68	0.57	2285
PF00685	Sulfotransfer_1	221	0.49	337
PF00686	CBM_20	1424	0.45	179
PF00687	Ribosomal_L1	43	0.57	2314
PF00689	Cation_ATPase_C	320	0.50	1376
PF00690	Cation_ATPase_N	338	0.50	1415
PF00691	OmpA	3	0.50	1866
PF00692	dUTPase	164	0.49	2018
PF00694	Aconitase_C	113	0.61	2007
PF00696	AA_kinase	158	0.61	2409
PF00697	PRAI	179	0.50	1690
PF00698	Acyl_transf_1	325	0.50	2221
PF00699	Urease_beta	77	0.46	790
PF00700	Flagellin_C	13	0.46	1168
PF00701	DHDPS	102	0.61	2286
PF00702	Hydrolase	299	0.50	2270
PF00703	Glyco_hydro_2	1057	0.48	803
PF00704	Glyco_hydro_18	388	0.50	733
PF00705	PCNA_N	3070	0.00	14
PF00707	IF3_C	25	0.61	2313
PF00708	Acylphosphatase	316	0.46	1507
PF00709	Adenylsucc_synt	328	0.58	2136
PF00710	Asparaginase	167	0.46	1527
PF00712	DNA_pol3_beta	232	0.54	2148
PF00717	Peptidase_S24	187	0.50	2295
PF00719	Pyrophosphatase	114	0.57	1575
PF00722	Glyco_hydro_16	265	0.46	435
PF00723	Glyco_hydro_15	1200	0.46	651
PF00724	Oxidored_FMN	646	0.50	1705
PF00725	3HCDH	75	0.50	1438
PF00728	Glyco_hydro_20	1688	0.46	532
PF00730	HhH-GPD	230	0.50	2259
PF00731	AIRC	197	0.50	2010
PF00732	GMC_oxred_N	258	0.46	1014
PF00733	Asn_synthase	208	0.56	1475
PF00737	PsbH	88	0.38	72
PF00741	Gas_vesicle	901	0.41	77
PF00742	Homoserine_dh	539	0.61	1994
PF00743	FMO-like	908	0.41	203
PF00745	GlutR_dimer	307	0.46	1444
PF00746	Gram_pos_anchor	229	0.33	464
PF00749	tRNA-synt_1c	290	0.61	2339
PF00750	tRNA-synt_1d	202	0.57	2302
PF00753	Lactamase_B	124	0.57	2392
PF00754	F5_F8_type_C	504	0.48	581
PF00755	Carn_acyltransf	799	0.37	35
PF00756	Esterase	51	0.50	1569
PF00759	Glyco_hydro_9	2879	0.45	203
PF00762	Ferrochelatase	350	0.49	1749
PF00763	THF_DHG_CYH	150	0.50	2262
PF00764	Arginosuc_synth	258	0.61	1867
PF00765	Autoind_synth	164	0.30	223
PF00766	ETF_alpha	18	0.48	1358
PF00768	Peptidase_S11	247	0.50	1792
PF00771	FHIPEP	374	0.50	1264
PF00772	DnaB	495	0.57	2294
PF00773	RNB	85	0.57	2006
PF00775	Dioxygenase_C	130	0.46	548
PF00777	Glyco_transf_29	2787	0.29	28
PF00781	DAGK_cat	332	0.50	1500
PF00782	DSPc	794	0.46	402
PF00793	DAHP_synth_1	361	0.61	2050
PF00795	CN_hydrolase	175	0.50	2143
PF00796	PSI_8	30	0.27	66
PF00797	Acetyltransf_2	1154	0.43	562
PF00800	PDT	562	0.61	1876
PF00801	PKD	383	0.48	442
PF00805	Pentapeptide	82	0.50	856
PF00809	Pterin_bind	525	0.50	2104
PF00813	FliP	104	0.50	1258
PF00814	Peptidase_M22	352	0.57	2357
PF00815	Histidinol_dh	593	0.58	1768
PF00816	Histone_HNS	121	0.36	570
PF00817	IMS	319	0.50	1899
PF00821	PEPCK	421	0.42	480
PF00823	PPE	112	0.14	84
PF00825	Ribonuclease_P	44	0.56	2280
PF00828	Ribosomal_L18e	44	0.61	2317
PF00829	Ribosomal_L21p	13	0.61	2320
PF00830	Ribosomal_L28	6	0.61	2316
PF00831	Ribosomal_L29	18	0.57	2301
PF00834	Ribul_P_3_epim	217	0.61	2237
PF00842	Ala_racemase_C	271	0.49	2117
PF00847	AP2	1810	0.42	118
PF00848	Ring_hydroxyl_A	71	0.45	636
PF00849	PseudoU_synth_2	308	0.61	2395
PF00850	Hist_deacetyl	407	0.49	1061
PF00852	Glyco_transf_10	1117	0.43	131
PF00854	PTR2	392	0.50	1011
PF00856	SET	193	0.43	389
PF00857	Isochorismatase	519	0.50	1891
PF00860	Xan_ur_permease	371	0.48	1703
PF00861	Ribosomal_L18p	20	0.55	2309
PF00866	Ring_hydroxyl_B	75	0.35	324
PF00871	Acetate_kinase	111	0.50	1887
PF00872	Transposase_mut	248	0.50	953
PF00873	ACR_tran	217	0.50	1708
PF00874	PRD	170	0.41	822
PF00875	DNA_photolyase	561	0.48	1188
PF00877	NLPC_P60	48	0.50	1818
PF00881	Nitroreductase	132	0.50	2119
PF00882	Zn_dep_PLPC	401	0.44	297
PF00883	Peptidase_M17	51	0.57	1746
PF00884	Sulfatase	255	0.48	1727
PF00885	DMRL_synthase	161	0.50	1946
PF00886	Ribosomal_S16	15	0.61	2315
PF00887	ACBP	989	0.46	143
PF00889	EF_TS	116	0.57	2310
PF00890	FAD_binding_2	66	0.50	2160
PF00891	Methyltransf_2	1157	0.46	428
PF00892	EamA	106	0.50	2238
PF00893	Multi_Drug_Res	57	0.50	1299
PF00899	ThiF	191	0.50	1900
PF00902	TatC	613	0.50	1692
PF00903	Glyoxalase	95	0.46	1686
PF00905	Transpeptidase	76	0.49	2300
PF00908	dTDP_sugar_isom	367	0.50	1440
PF00909	Ammonium_transp	10	0.49	1624
PF00912	Transgly	246	0.49	2177
PF00916	Sulfate_transp	166	0.49	1507
PF00919	UPF0004	184	0.61	2001
PF00920	ILVD_EDD	125	0.61	1954
PF00923	Transaldolase	206	0.61	1992
PF00924	MS_channel	215	0.50	2214
PF00925	GTP_cyclohydro2	20	0.50	1961
PF00926	DHBP_synthase	306	0.50	1956
PF00929	RNase_T	355	0.58	2264
PF00930	DPPIV_N	855	0.48	294
PF00931	NB-ARC	1988	0.44	264
PF00932	LTD	143	0.47	369
PF00933	Glyco_hydro_3	837	0.48	1665
PF00934	PE	132	0.11	75
PF00936	BMC	17	0.50	398
PF00938	Lipoprotein_3	22	0.02	10
PF00939	Na_sulph_symp	325	0.49	1091
PF00940	RNA_pol	3941	0.29	15
PF00941	FAD_binding_5	366	0.50	856
PF00949	Peptidase_S7	194	0.53	74
PF00950	ABC-3	350	0.48	1919
PF00953	Glycos_transf_4	487	0.50	2241
PF00958	GMP_synt_C	304	0.57	2105
PF00959	Phage_lysozyme	199	0.46	541
PF00962	A_deaminase	862	0.46	1038
PF00970	FAD_binding_6	58	0.50	1938
PF00975	Thioesterase	149	0.44	820
PF00977	His_biosynth	269	0.58	1803
PF00982	Glyco_transf_20	614	0.46	722
PF00984	UDPG_MGDP_dh	70	0.50	1759
PF00986	DNA_gyraseB_C	144	0.57	2352
PF00988	CPSase_sm_chain	437	0.61	2050
PF00989	PAS	304	0.50	1536
PF00990	GGDEF	231	0.50	1759
PF00994	MoCF_biosynth	206	0.50	1958
PF00999	Na_H_Exchanger	297	0.50	2124
PF01000	RNA_pol_A_bac	39	0.61	1840
PF01008	IF-2B	420	0.46	769
PF01010	Oxidored_q1_C	442	0.46	209
PF01011	PQQ	172	0.44	490
PF01012	ETF	14	0.48	1361
PF01014	Uricase	2724	0.40	110
PF01016	Ribosomal_L27	21	0.61	2320
PF01018	GTP1_OBG	143	0.61	2320
PF01019	G_glu_transpept	188	0.50	1265
PF01022	HTH_5	133	0.50	1753
PF01024	Colicin	2021	0.20	17
PF01025	GrpE	110	0.61	2309
PF01026	TatD_DNase	320	0.57	2315
PF01027	Bax1-I	29	0.47	1489
PF01028	Topoisom_I	2002	0.43	279
PF01029	NusB	531	0.57	2304
PF01032	FecCD	166	0.56	1783
PF01035	DNA_binding_1	149	0.50	2124
PF01037	AsnC_trans_reg	329	0.50	1536
PF01039	Carboxyl_trans	92	0.50	2203
PF01040	UbiA	336	0.50	2067
PF01041	DegT_DnrJ_EryC1	308	0.50	1584
PF01042	Ribonuc_L-PSP	203	0.50	1942
PF01047	MarR	76	0.50	1883
PF01048	PNP_UDP_1	164	0.57	2287
PF01050	MannoseP_isomer	131	0.49	1043
PF01051	Rep_3	379	0.43	124
PF01052	SpoA	270	0.50	1265
PF01053	Cys_Met_Meta_PP	53	0.50	1959
PF01055	Glyco_hydro_31	912	0.48	754
PF01058	Oxidored_q6	164	0.50	1527
PF01059	Oxidored_q5_N	414	0.45	319
PF01061	ABC2_membrane	317	0.50	1945
PF01062	Bestrophin	2008	0.44	489
PF01063	Aminotran_4	165	0.61	2118
PF01066	CDP-OH_P_transf	96	0.57	2333
PF01068	DNA_ligase_A_M	1448	0.49	757
PF01070	FMN_dh	101	0.46	1455
PF01071	GARS_A	819	0.50	2048
PF01073	3Beta_HSD	177	0.48	327
PF01074	Glyco_hydro_38	2401	0.50	520
PF01075	Glyco_transf_9	665	0.49	1052
PF01076	Mob_Pre	2215	0.41	134
PF01077	NIR_SIR	210	0.50	1476
PF01078	Mg_chelatase	454	0.50	1697
PF01081	Aldolase	312	0.50	1278
PF01083	Cutinase	1125	0.35	173
PF01084	Ribosomal_S18	11	0.57	2312
PF01087	GalP_UDP_transf	540	0.50	982
PF01094	ANF_receptor	1075	0.43	76
PF01095	Pectinesterase	1083	0.43	299
PF01098	FTSW_RODA_SPOVE	210	0.49	2234
PF01103	Bac_surface_Ag	286	0.49	1422
PF01106	NifU	146	0.50	1452
PF01112	Asparaginase_2	1118	0.50	578
PF01113	DapB_N	105	0.61	2109
PF01116	F_bP_aldolase	15	0.57	1969
PF01118	Semialdhyde_dh	186	0.61	2274
PF01119	DNA_mis_repair	920	0.50	1828
PF01120	Alpha_L_fucos	884	0.47	259
PF01121	CoaE	157	0.50	2249
PF01123	Stap_Strp_toxin	3308	0.19	62
PF01124	MAPEG	537	0.46	668
PF01126	Heme_oxygenase	252	0.46	384
PF01127	Sdh_cyt	43	0.45	1397
PF01128	IspD	442	0.50	1943
PF01129	ART	959	0.31	23
PF01131	Topoisom_bac	158	0.57	2300
PF01132	EFP	128	0.57	2299
PF01134	GIDA	213	0.61	2061
PF01135	PCMT	358	0.46	1042
PF01136	Peptidase_U32	234	0.50	1397
PF01137	RTC	4150	0.43	169
PF01138	RNase_PH	73	0.50	2200
PF01139	RtcB	491	0.50	779
PF01142	TruD	1098	0.45	565
PF01144	CoA_trans	52	0.46	1226
PF01145	Band_7	149	0.50	2117
PF01148	CTP_transf_1	476	0.55	2289
PF01149	Fapy_DNA_glyco	181	0.50	1760
PF01150	GDA1_CD39	1851	0.18	15
PF01152	Bac_globin	55	0.46	859
PF01154	HMG_CoA_synt_N	284	0.40	392
PF01155	HypA	280	0.44	675
PF01156	IU_nuc_hydro	188	0.49	1029
PF01161	PBP	441	0.50	1153
PF01163	RIO1	1113	0.37	270
PF01165	Ribosomal_S21	13	0.50	1988
PF01168	Ala_racemase_N	263	0.50	2240
PF01169	UPF0016	382	0.38	527
PF01170	UPF0020	1085	0.47	1387
PF01171	ATP_bind_3	320	0.60	2318
PF01174	SNO	345	0.46	748
PF01175	Urocanase	493	0.48	834
PF01176	eIF-1a	48	0.61	2341
PF01177	Asp_Glu_race	535	0.49	2076
PF01179	Cu_amine_oxid	1635	0.37	165
PF01180	DHO_dh	148	0.50	2094
PF01182	Glucosamine_iso	268	0.50	1834
PF01183	Glyco_hydro_25	367	0.46	738
